,station,lat,lon,distance(km),EW-PGA,NS-PGA,UD-PGA,PGA,EW-PGV,NS-PGV,UD-PGV,PGV,I
56,B4401,25.2526,119.0364,378.6511627108135,7.482843347351505,2.8868501614868673,3.908140379209685,7.597784651623141,6.391647362204482,1.4371456030416978,3.6564984523639272,7.45687376491911,12.0
57,E6317,24.0691,117.8002,378.8326191490505,2.5701280788750096,2.9725300403349095,2.3103507828613905,3.0722563834194503,1.642354991237979,3.0604729727913065,0.25318994133093947,3.453955217981613,11.384950107358286
58,E6904,24.40664,118.03866,378.8400564922997,1.7247241783932337,3.0768076776639655,1.9958879759360892,3.212823168825744,1.5260634543120009,1.685278637909726,0.8787416802778457,2.3868295407976814,10.903464212863128
59,C5802,24.84707,118.4629,378.84017566396295,2.4098629726436998,2.8143055460029447,3.418308632138686,3.8724382400291826,1.507324223777277,0.7584068797387428,0.27564651439940974,1.681715851659098,10.44725785343213
60,E6312,24.2486,117.9065,379.91390506606194,6.459091676896558,8.686272682713826,6.2651898638231796,10.592412183140949,0.3455139584717735,1.52735396811065,0.600797206380701,1.5858984669769765,10.370826137892154
61,C5301,25.075,118.734,380.0879708041361,5.328233889890289,5.724764270195507,5.463993560399851,7.475873754359493,0.7645394071783432,0.99644457168928,0.8484613050984372,1.3641252280142853,10.17456272241117
62,C5202,25.1929,118.9081,380.2516460735708,4.582659711437253,3.856830448860371,2.4177022928764504,4.625740996391124,0.6247709177692287,3.7763003215982,1.2192138766978358,3.96547782315492,11.564886576315176
63,C5921,24.8156,118.3907,381.4326176536531,4.054096795097688,2.772115974957132,3.6074654086446896,4.409736962871148,0.5538985840513,0.8315390022962955,0.9745058337649457,1.225933372194936,10.035400602534827
64,C5204,25.1652,118.8209,382.8149401503414,4.42113885590721,2.8266141601123698,3.600098394680205,4.624198121152505,1.6508853528687464,0.28071995929663546,1.9203805212805714,2.507648265391134,10.967799860695663
65,E6301,24.1803,117.8192,383.4006763666533,1.940066396038287,1.7469363410024117,2.572926633312787,2.600475988650049,0.7544201615927519,0.13046422811751077,0.403313371244489,0.8363824448679105,9.537214726034437
66,E6901,24.347,117.9353,383.5458465844018,8.63815820701196,7.816848740954379,10.789802199568852,10.913586134861442,0.6868641655084021,3.940448054633053,1.082155941284715,4.0716582497777125,11.599313956465256
67,E6320,23.8348,117.6173,383.57704756404377,3.505164661730703,3.4245945635584034,2.8123101059467728,4.15355344764294,2.4513352641746087,0.3032588030579036,0.4187201956979451,2.4845458755960372,10.955741060400147
68,D2501,24.67266,118.21305,383.62726081498465,1.9692580175435692,2.7609596761032065,2.4509320320110928,2.9187679383198413,1.0050334737060445,2.46200093400431,2.42236386282987,3.5615380155935816,11.424912752997601
69,C5203,25.2189,118.8889,383.7212464427569,3.1170171960246806,7.243521624826665,3.2933829353687876,7.284520325364024,2.9310287332540748,1.9763089505836016,1.3587684820157875,3.7256334503367645,11.483600372673523
70,B4102,25.3015,119.0229,383.96034877087226,0.0022949444237678673,0.002468083768614413,2.893327474431933,2.8933274758759175,9.972708716935447e-05,0.0003472867381411159,1.14922585526595,1.1492258867991332,9.951216200290904
71,C5105,25.0476,118.6227,384.74549818512014,4.008377955550145,4.591868280472321,4.332562633583581,4.6090372233298735,0.3162737874479256,2.4850340428867757,1.1564787919684216,2.718781818415314,11.073123070875539
72,D2402,24.6515,118.1735,385.0952114657701,4.839337884731176,4.722781581785913,4.476216596999108,5.927449038609539,3.8589629267495846,5.052498686200687,1.3063198686922188,6.47278727273388,12.0
73,C5903,24.9157,118.4493,385.3140561359751,12.495633129337106,3.053086136746633,5.05629355726505,12.725772099405885,1.5757514332628462,0.7605919596091312,0.5860302276673649,1.8107341008456206,10.543564041697794
74,D2401,24.70146,118.21529,385.58152383280316,2.5956025247928802,3.844831302640731,2.504211796160918,3.9106872422566337,0.5045823875052495,0.8002901654634822,0.676222338443049,1.1250399625177951,9.923503847856052
75,D2502,24.7421,118.2544,385.6920030924804,3.370238606636084,3.0415030983140916,5.8021473490712285,5.858556008913982,0.7062019785518924,0.2835163550704116,1.1141562604960946,1.2848352702151276,10.096542349953163
76,E6321,24.0029,117.6823,385.85476080879636,2.6722262799820613,2.317054962744743,1.9905855558409917,3.0878386255650083,0.19214245732905985,0.2116722785354696,0.796803109770206,0.8226109704869436,9.515583491121852
77,D2204,24.5798,118.0946,386.1065613093174,2.6358046100647528,2.0537686522321543,1.923274491096631,2.6837565512810744,2.6323903890413893,1.2570383768141704,1.2184936749843542,3.146159512714573,11.263342213732315
78,B4303,25.3621,119.0853,386.42109464813655,3.6151376553459,2.5982877618614837,2.6029006922173483,3.644466923375626,1.1155544352985494,0.4501773871856939,0.4034004517661091,1.2136863402709006,10.022319392284858
79,E6322,24.052,117.6996,386.86168809420843,3.472389960674031,3.2075381596535157,3.9764000683831027,3.990247665024766,0.6094133479238459,1.07619567410391,0.8987842942045682,1.4537039308738842,10.257427894368345
80,B4101,25.2767,118.9205,387.2420577899369,0.0029612882130462255,0.0020080003333408244,0.001270873241530179,0.0029645010964233567,0.0030138944634160235,0.00022628100034212262,0.00048784171979223903,0.003056260155918417,1.0
81,D2301,24.464566,117.979403,387.4860252901766,8.659771218012162,4.6420094597276345,11.44483775742126,11.740680776820058,9.534426850679834,5.777515350459289,15.515766762423697,19.081389895613405,12.0
82,E6310,24.2448,117.8112,387.84591794922886,2.753117185340376,2.618055626153601,2.005390175682005,2.772846130611831,1.4103607967556246,3.827609627895742,0.16312540201585327,4.052149420117359,11.593056353847558
83,E6219,23.7295,117.5164,388.33417070679195,2.8157352806225244,3.2484444004526,2.570561438361249,3.4576972049128947,2.1914722458797744,0.2992868932217955,3.0209475958139165,3.7121501691480585,11.478876609790149
84,E6905,24.3325,117.8657,388.4860611420585,2.1157475192136523,3.042861070459744,2.058864818666373,3.065910542205498,1.8121550711503431,0.1297144341058883,0.1145519592679218,1.8129718702099125,10.545173197106072
85,D2303,24.535142,118.017513,389.1375565279076,2.6446324579324583,2.5444075602794207,2.653144737507427,2.840181133549868,0.9615986326851322,1.2633996887887096,0.5961630576588446,1.638875238539749,10.41363768082851
86,D2405,24.77059,118.23301,389.42487915203446,1.993991286835043,2.226213278906373,4.724195045258696,4.728934323690201,1.1732549210381522,1.4672134645263337,0.7561147111257824,1.985511104831655,10.663616961160606
87,E6319,23.9487,117.6084,389.83127896296014,3.5613508864386603,4.699763332082088,2.9858582707475816,5.114374997018221,0.606246970539993,3.38951603339019,0.9916051567994254,3.5448319625392126,11.418786958778712
88,C5904,24.9194,118.3876,389.889395425836,4.23043283230235,3.767757840809425,7.102710025188326,7.187056159266735,0.3292100833606262,1.683084628354469,0.6713428493621372,1.7764066629272766,10.518627180355493
89,E6906,24.3849,117.8832,390.2810071482478,10.973893792467292,9.590952008975101,11.836705191120467,15.71034515817969,4.887284771420776,0.7555076678613138,0.8568905970951496,4.924221258516648,11.847012676153547
90,D2202,24.6309,118.08397,390.53382273059134,4.195314158725645,4.621139349360024,4.063295067064903,4.7082109139929935,0.9078190772712776,3.0815440659932705,1.2668182697025476,3.4245518071981706,11.373811222027673
91,C5909,25.0125,118.4828,390.9716669939901,4.635564176024526,5.571498029232063,5.045658605732128,7.4054407539302485,0.27057695752644906,1.049689006680261,1.6409987379161748,1.8916391648994024,10.600514891485252
92,B4304,25.3806,119.0276,391.1691443128355,3.4427597701313126,3.6473704181210906,3.1778845695486346,4.308102499804709,3.086110117691921,1.5856021761967671,0.6425213965938037,3.484911967219861,11.396575435422431
93,B4513,25.2131,118.7506,391.27819492104135,2.521789890628508,2.5641118167477392,3.5800035455386516,3.5942222375473594,0.23127049557084262,0.17285295273012422,1.5973738429909052,1.603397817879758,10.385123864645605
94,B4512,25.2608,118.8226,391.3430304895953,2.9946470202129563,3.0975886898235907,3.0056444809248912,3.3056948887071607,2.9088912071152055,1.4869962641898922,1.2946721041643758,3.433037378820097,11.377035596114943
95,E6218,23.7237,117.481,391.42918915097385,2.4333437798443565,2.764453112894834,2.297528123442033,3.0072947201917635,0.3475789809457833,1.65658945074233,0.6374094263070481,1.786047254858302,10.525678835526637
96,D2403,24.69471,118.12936,391.60602380312054,6.254139616328298,3.3051195819122117,3.0657218897443133,6.729923779341175,0.18761684623428682,0.5405184388964451,1.368574079066462,1.4573736912442294,10.26071277590682
97,E6302,24.1483,117.7017,391.8778178424327,3.3201687969461595,5.949016859996308,9.742849503314108,10.785642508638887,1.2760862596934792,4.101615050616402,1.360393254808927,4.295055948447749,11.668906476290285
98,C5102,25.157022,118.635691,393.35540281136537,8.155268620241715,3.2158084698224734,5.721627354420689,9.195597936446031,3.062336257490162,1.8202415821898157,2.4471642520864294,4.288759438482795,11.666995060515209
99,C5911,25.0823,118.5332,393.48630044486754,4.995365104574714,3.9416216127465593,2.2387658262598547,5.247810510709346,2.270406218281943,1.388906360156036,0.9111069938023019,2.7773295609231736,11.100882249979916
100,D2406,24.74196,118.1477,393.6692937825162,2.321020999589671,2.371774944624578,1.913248632910426,2.615462359252791,2.6939168660874793,0.7426640715498793,0.16492247122894718,2.785920111042699,11.104905975354885
101,B4305,25.4101,119.0323,393.7211945270952,8.247448031342662,4.499022714661465,4.244325714688906,9.12909668665601,nan,nan,nan,nan,nan
102,D2201,24.5706,117.98772,393.9327305691719,5.898168290966315,2.301864697023046,6.7423451995998525,7.49731613724461,6.960179066238962,2.1779762924681183,13.166625721156473,15.030514859272495,12.0
103,B4511,25.2964,118.8333,393.96888264260355,4.50426829472414,3.899199805833995,4.81875536186149,5.3453203827684215,0.18973197917398865,1.236526676535445,1.1659813090636246,1.6534559554189716,10.425177892143
104,E6916,24.49765,117.9219,394.35132333865755,3.0720609228821663,4.308040384392465,4.183402092290857,4.426553503263731,0.2325561130713798,0.8584259763734512,1.2808183305766772,1.5057812370064891,10.303285643757313
105,E6217,23.7174,117.4461,394.46666991576706,3.3767277716439925,3.167289067113133,2.985240406482566,3.7890757500506735,1.1240457031210485,0.6820969553983849,1.5235724832916515,1.9771677269350436,10.658130538733987
106,E6222,23.6886,117.4276,395.0465414813509,2.291357832746777,2.685935195621807,2.058568264963081,2.766211312446687,1.09662184415592,0.3816361473707822,1.0817058703339157,1.5464396915042393,10.33799896378844
107,E6318,23.9269,117.5395,395.08267806366274,3.491155903235514,5.366106396604628,3.6906588692307514,6.047683055847533,1.2635972145876377,2.048032374555108,1.4174668677711644,2.7202387397616703,11.073821063732511
108,B4105,25.41277,119.0053,395.3799961677386,3.4556376297228257,3.9145853666095327,2.427084804592455,4.032969113521314,0.946264052043549,0.25790995687186796,1.0453054463144391,1.3821644202151409,10.191679127402725
109,E6907,24.4191,117.8471,395.44815475469665,5.4976681299812045,4.3517111521386,3.370352696774509,5.936886530059888,0.7680156848573356,0.43578023170123714,0.4354688839533925,0.9082769980754568,9.644654947732842
110,C5910,25.1092,118.5366,395.54551070399947,2.7558667207882808,2.091357627380188,1.9316053648896894,2.8606915984898738,0.7866300912787308,0.6902274844203974,1.5445733953225773,1.8463694731180886,10.568955833429358
111,D2408,24.69079,118.07424,395.55509803358956,2.9784812442181297,3.6711034462557364,2.506377245786573,4.35162479571209,0.7471072950833857,1.478247078398931,0.3307090124404154,1.6380721679001073,10.41299909416031
112,E6220,23.5954,117.3806,395.922977381624,3.2816142208935593,2.480048358105323,1.8971234277220104,3.282924982416792,0.776584870374269,1.1498913168044307,0.7535605853177036,1.5201777421452625,10.315683108413202
113,C5908,24.9159,118.2967,396.0107597317077,5.718608811380493,4.013309260509805,3.2209887825810504,6.034480190899102,1.260384037357094,2.1951351158630614,0.6020023799581842,2.5462907663414756,10.987723985471405
114,B4302,25.427,119.0181,396.0618322797025,2.9197145929599695,3.5329436236360854,2.8092067345974163,3.724285698198432,2.0667687356323072,1.3369770809393653,0.8517035455699072,2.5594216754589905,10.994425530860077
115,E6306,24.1106,117.6218,396.9154024289441,2.9146322393234962,3.1780720589003066,2.3973773939319356,3.243556525075167,2.08818965776039,1.3715187807587306,0.10778881128723439,2.4464844827783225,10.93562739656608
116,E6914,24.4653,117.861,397.2410053408136,3.7574135282221492,8.054996162360426,10.809618403166324,10.867316469932499,0.4261694902050484,0.30292481057791354,2.590915454868451,2.6169528672172016,11.023387702472391
117,E6213,23.8208,117.4622,397.36919988499847,2.9048337873375,2.5359313739414455,2.6876513775494892,3.0383913030526983,0.9468925297772449,1.4884006688195566,3.075564943038114,3.4873472303133775,11.397485574879276
118,C5901,25.0163,118.388,397.6964481995452,313.8056407366423,1962.6844876206117,155.36256185815506,1993.6754760321066,40.89759106940963,255.46310203119427,20.236723097306978,259.50632827813297,12.0
119,E6908,24.3621,117.7747,397.99236960669646,9.834828447033749,13.16895246204073,8.17797362517844,14.324579037892379,6.8877993513660805,6.584025003837524,1.9809329389460062,9.655153790031024,12.0
120,D2203,24.6415,117.9952,398.2288170856944,3.719011420434012,2.9160139435104635,2.757486653904342,4.0395210649192785,0.42652182831474256,1.4946847993979546,0.18626676056447397,1.5223621182241365,10.317553905873195
121,B4103,25.4333,118.9865,398.3063216449954,8.790991963407885,4.392231700449184,9.61026485414853,11.419376737746843,5.4382482739521265,0.3035009531265134,1.1798411007952934,5.452314511015241,11.979742699113809
122,E6309,24.3192,117.7403,398.33541072252257,10.33715407202117,7.781650119556527,4.460825134153814,10.943964982626639,7.432648791323816,0.41408571139343014,0.16498616400212926,7.436854997200312,12.0
123,E6221,23.6884,117.3891,398.6990618146974,6.970854764479438,5.237449444775006,2.4101945698583562,8.431423606692206,1.4458007136058288,0.35215390511817996,0.20274035179145855,1.4523703922758413,10.25623216067928
124,C5103,25.1999,118.607,398.87632015128946,2.2387429521571085,2.0364667736926725,1.7853508299120735,2.2426620324369697,3.016084202664752,0.968231415570409,0.23562150372709714,3.159450109272362,11.268834505491427
125,E6214,23.8989,117.4792,399.32332690766134,2.8235715638016488,2.5330558386633424,2.611411539649158,2.9051549884338894,1.1344434703800699,0.3221496609690187,1.923134511812015,2.2166366436031484,10.807083525065806
126,C5902,25.00482,118.34577,399.6655695676402,8.654974515298145,6.127509683426655,10.07025045764353,11.220928714501564,0.5532941957722546,0.3554565142509244,3.009476665530064,3.0609224411666207,11.227556976246989
127,B4510,25.3549,118.8254,399.7702449467724,7.1999416775649765,7.115871709022638,6.327302600577741,8.222734459974905,nan,nan,nan,nan,nan
128,E6915,24.4452,117.8143,399.8294159540698,5.5378256973895486,3.478345738458837,2.144494564006052,6.476227128611567,0.5272353846231083,1.1209184297208523,0.10202996813366676,1.2232089251703693,10.032501923764704
129,E6304,24.0924,117.574,400.2286528413389,3.444136093733844,3.781459917887384,3.301552805043653,4.194593866144879,0.6648154607694062,2.861449902737367,0.6170431930750616,2.988038974379899,11.196158773654718
130,E6216,23.7525,117.3913,401.10264804233566,3.1023258874578485,1.9967959076896438,2.5490668425624787,3.303481886223003,1.2613632235125547,0.43951399694859455,0.8589887776856289,1.5440597269253074,10.335992286779705
131,D2302,24.587746,117.908488,401.4407531657007,2.2006018028960974,1.9993636183136374,2.430018534561583,2.609262130673753,0.9518496101783912,0.23217260359693534,0.8606329620396209,1.2569603402350102,10.067964724970015
132,E6212,23.7959,117.4065,401.5045040931695,2.0010696279569173,2.840259438450973,2.081303962670739,2.840379521052851,0.7525704738824281,0.46143494713893907,1.1149036854906795,1.379649695853109,10.189306488615626
133,E6308,24.244,117.6476,401.9751597850772,2.9623784831348288,3.202871016263195,2.512745562177012,3.449023040225892,0.13200843363861567,1.078705303636036,0.16450476044539053,1.0816213354256998,9.872225735957983
134,C5912,25.1773,118.5153,402.7217500513841,5.225505810805681,3.1516992325610955,3.0100667495592943,5.979953669260243,0.8713857049821809,2.5460163122703694,0.7379714259007395,2.7305640795445174,11.078757118405978
135,E6917,24.49,117.8131,402.78339390851556,2.5044396783410123,3.356087737853619,3.5360251534827385,3.6667164412533633,1.212062697878794,1.1355024662565045,3.3900724307804944,3.73834698284834,11.488038826716476
136,C5913,25.2022,118.5461,402.89901824640526,2.629221266921257,2.2108584118660666,2.3730906490767443,2.800947464829488,0.9064444274763388,1.445132006307377,0.15319646605972465,1.6977895054394074,10.459651534238132
